FID,CT_Tag_ID,Date_Ptd,Cultivar,SciName,CmmnName,DBH,Program,EventORAdd,Impervious,DBH1,DBH2,DBH3,DBH4,TotalHeigh,Width_NS,Width_EW,PercentMis,CrownCondi,TreeStruct,SpaceType1,CrownBase,Jurisdicti,SpaceTypeD,Cond_18,SpaceType,Condition,DDOE,PTG_Notes,Cond_12,Genus,Species,StockType,Class_Code,Mntc_Condn,Season,Nursery,Condit_13,POINT_X,POINT_Y,Cond_17,Cond_16,Cond_15,Cond_14,db_jdx,db_year,db_Season,db_removed,db_SpaceTy,db_Prog,db_StockT,db_ClassCo,db_Nursery,db_Genus,db_Species,db_mtc,db_pltdbh,isAlive,Death_Yr,Death_Age,Age,Cond_Agg
0,CT12134016,4/11/15 0:00, ,Quercus muehlenbergii,"Oak, Chinkapin",2.5,CTP,Armed Forces Retirement Home - Spring 2015,0%,0,0,0,0,12,9,9,21-30%,4,4,Maintained land,4,FED MILITARY,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01692374,38.93323214, , , , ,FED MILITARY,2015,Spring, ,Maintained Land,CTP,BB,119,Casey Tree Farm,Quercus,muehlenbergii,Good,1.5,1,0,0,4,Good
1,CT12124044,4/22/15 0:00, ,Betula nigra,"Birch, River",12,DDOE,3224 Military rd NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.06502346,38.96043836, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Betula,nigra, ,1.2,1,0,0,4,Good
2,CT12124063,4/6/15 0:00, ,Betula nigra,"Birch, River",8,DDOE,5619 Colorado st NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Missing, , , , , , , , , , , ,Casey Tree Farm, ,-77.03136046,38.95773667, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Betula,nigra, ,8,0,2018,3,3,Missing
3,CT12131001,5/14/15 0:00, ,Quercus macrocarpa,"Oak, Bur",2,DDOE,"3425 Rodman St NW Washington, DC, United States", ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.06917866,38.9397543, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Quercus,macrocarpa, ,2,1,0,0,4,Good
4,CT12133007,4/11/15 0:00, ,Quercus muehlenbergii,"Oak, Chinkapin",2.6,CTP,Armed Forces Retirement Home - Spring 2015,0%,0,0,0,0,12,9,9,21-30%,4,4,Maintained land,5,FED MILITARY,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.0170203,38.93318434, , , , ,FED MILITARY,2015,Spring, ,Maintained Land,CTP,BB,119,Casey Tree Farm,Quercus,muehlenbergii,Good,2,1,0,0,4,Good
5,CT13219082,11/18/15 0:00, ,Cercis canadensis,"Redbud, Eastern",0,DDOE,5305 5 th st NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-77.0194439,38.95453824, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Cercis,canadensis, ,0,1,0,0,4,Left Card
6,CT13221059,3/31/15 0:00, ,Halesia monticola,"Silverbell, Mountain",1.5,DDOE,3517 24th ne, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.97164403,38.93379435, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Halesia,monticola, ,1.5,1,0,0,4,Left Card
7,CT13221066,5/13/15 0:00, ,Halesia monticola,"Silverbell, Mountain",1.5,DDOE,38 Farragut pl NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-77.01009452,38.95147758, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Halesia,monticola, ,1.5,1,0,0,4,Left Card
8,CT13221067,4/11/15 0:00, ,Halesia monticola,"Silverbell, Mountain",3.1,CTP,Armed Forces Retirement Home - Spring 2015,0%,0,0,0,0,13,9,9,21-30%,4,4,Maintained land,0,FED MILITARY,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01645496,38.93532513, , , , ,FED MILITARY,2015,Spring, ,Maintained Land,CTP,BB,119,Casey Tree Farm,Halesia,monticola, ,1.5,1,0,0,4,Good
9,CT13221069,4/22/15 0:00, ,Halesia monticola,"Silverbell, Mountain",1.5,DDOE,3813 windom Pl nw, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Side Yard,Missing, , , , , , , , , , , ,Casey Tree Farm, ,-77.07543849,38.94567974, , , , ,RESIDENTIAL,2015,Spring, ,Side Yard,DDOE,BB,155,Casey Tree Farm,Halesia,monticola, ,1.5,0,2018,3,3,Missing
